,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,Car_Age,Brand,Model,Kilometers_Driven_log,Price_log,New Mileage,newprice,num_engine,power
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000.0,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,32.01 Lakh,15.0,10,Mitsubishi,PajeroSport,11.608235644774552,2.70805020110221,13.5,32.01,2477.0,175.56
16,Honda Amaze S i-Dtech,Kochi,2016,58950.0,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,5.4,8,Honda,AmazeS,10.984444905965518,1.6863989535702288,25.8,11.15,1498.0,98.6
17,Maruti Swift DDiS VDI,Jaipur,2017,25000.0,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,,5.99,7,Maruti,SwiftDDiS,10.126631103850338,1.7900914121273581,28.4,7.87,1248.0,74.0
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469.0,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,6.34,10,Renault,Duster85PS,11.257633135320098,1.8468787684491346,20.45,4.93,1461.0,83.8
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500.0,Diesel,Automatic,First,14.84 kmpl,2143 CC,167.62 bhp,5.0,,28.0,10,Mercedes-Benz,NewC-Class,11.2708539037705,3.332204510175204,14.84,70.85,2143.0,167.62
20,BMW 3 Series 320d,Kochi,2014,32982.0,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,47.87 Lakh,18.55,10,BMW,3Series,10.403717237088715,2.920469789053444,22.69,47.87,1995.0,190.0
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392.0,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5.0,,8.25,9,Maruti,SCross,10.922190457975935,2.1102132003465894,23.65,7.87,1248.0,88.5
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985.0,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5.0,,23.5,9,Audi,A62011-2015,10.932839076694297,3.1570004211501135,13.53,53.14,1984.0,177.01
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807.0,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,,1.87,14,Hyundai,i201.2,10.73219219685162,0.6259384308664954,18.5,9.74,1197.0,80.0
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000.0,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5.0,,2.85,14,Volkswagen,VentoPetrol,10.404262840448617,1.0473189942805592,14.4,11.105,1598.0,103.6
25,Honda City Corporate Edition,Mumbai,2012,51920.0,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,4.25,12,Honda,CityCorporate,10.857459351377972,1.4469189829363254,16.8,11.15,1497.0,116.3
26,Nissan Micra Diesel XV,Hyderabad,2012,54000.0,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,4.25,12,Nissan,MicraDiesel,10.896739325546411,1.4469189829363254,23.08,9.51,1461.0,63.1
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000.0,Petrol,Manual,Second,20.92 kmpl,998 CC,67.1 bhp,5.0,,2.75,11,Maruti,AltoK10,10.896739325546411,1.0116009116784799,20.92,7.87,998.0,67.1
28,Honda WRV i-VTEC VX,Kochi,2018,37430.0,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5.0,10.57 Lakh,9.9,6,Honda,WRVi-VTEC,10.530227800898475,2.2925347571405443,17.5,10.57,1199.0,88.7
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000.0,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,7.0,,4.0,17,Toyota,Innova2.5,12.476099782743233,1.3862943611198906,12.8,23.25,2494.0,102.0
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000.0,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,7.75,11,Renault,Duster110PS,11.03488966402723,2.0476928433652555,19.01,4.93,1461.0,108.45
31,Toyota Corolla Altis G,Delhi,2012,87615.0,Petrol,Manual,First,14.53 kmpl,1798 CC,138.1 bhp,5.0,,6.75,12,Toyota,CorollaAltis,11.38070749514252,1.9095425048844386,14.53,23.25,1798.0,138.1
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000.0,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7.0,,12.5,11,Mahindra,SsangyongRexton,11.184421397998193,2.5257286443082556,11.18,11.145,2696.0,184.0
33,Audi A6 2.7 TDI,Kolkata,2010,35000.0,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5.0,,11.5,14,Audi,A62.7,10.46310334047155,2.4423470353692043,12.4,53.14,2698.0,179.5
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431.0,Petrol,Manual,Second,16.09 kmpl,1598 CC,103.5 bhp,5.0,12.33 Lakh,6.98,10,Volkswagen,Vento1.6,10.922894283023263,1.9430489167742813,16.09,12.33,1598.0,103.5
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816.0,Petrol,Manual,Second,14.0 kmpl,1061 CC,64 bhp,5.0,,1.85,15,Maruti,WagonR,11.3363791990328,0.6151856390902335,14.0,7.87,1061.0,64.0
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075.0,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,11.12 Lakh,8.63,6,Maruti,VitaraBrezza,10.821277160534018,2.155244505095337,24.3,11.12,1248.0,88.5
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000.0,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5.0,,4.85,7,Mahindra,KUV100,10.858998997563564,1.5789787049493917,18.15,11.145,1198.0,82.0
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000.0,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,5.0,,28.0,11,Mercedes-Benz,M-ClassML,11.350406535472453,3.332204510175204,11.74,70.85,2987.0,254.8
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000.0,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,5.0,11,Volkswagen,PoloDiesel,11.03488966402723,1.6094379124341003,22.07,11.105,1199.0,73.9
40,Maruti Alto LXi,Delhi,2008,90000.0,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,,1.25,16,Maruti,AltoLXi,11.407564949312402,0.22314355131420976,19.7,7.87,796.0,46.3
41,Tata Nano LX SE,Kochi,2014,19698.0,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4.0,,1.53,10,Tata,NanoLX,9.888272386729648,0.4252677354043441,25.4,7.63,624.0,37.5
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033.0,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6.0,,5.58,7,Mahindra,KUV100,10.000296608464188,1.7191887763932197,25.32,11.145,1198.0,77.0
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487.0,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5.0,,4.74,10,Hyundai,i20Magna,10.476921711213846,1.556037135706985,18.5,9.74,1197.0,82.9
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374.0,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,5.0,23.64 Lakh,8.85,10,Hyundai,Elantra2.0,10.744494236334926,2.180417459019838,14.62,23.64,1999.0,149.92
45,Toyota Corolla Altis G AT,Mumbai,2016,52001.0,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,,10.11,8,Toyota,CorollaAltis,10.859018228147887,2.3135250330323798,14.28,23.25,1798.0,138.03
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005.0,Diesel,Manual,Second,14.9 kmpl,1991 CC,112.2 bhp,5.0,,4.25,16,Hyundai,ElantraCRDi,10.968284492709508,1.4469189829363254,14.9,9.74,1991.0,112.2
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704.0,Petrol,Manual,First,11.25 kmpl,2694 CC,163.7 bhp,7.0,18.64 Lakh,10.95,12,Toyota,InnovaCrysta,11.166257427370521,2.3933394562625097,11.25,18.64,2694.0,163.7
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000.0,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5.0,,3.85,10,Hyundai,Xcent1.1,11.225243392518447,1.3480731482996928,24.4,9.74,1120.0,71.0
49,Mahindra Thar CRDe AC,Jaipur,2012,75800.0,Diesel,Manual,Second,16.55 kmpl,2498 CC,105 bhp,6.0,,5.5,12,Mahindra,TharCRDe,11.235853571630463,1.7047480922384253,16.55,11.145,2498.0,105.0
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648.0,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,21.43,9,Audi,A42.0,9.52134826973146,3.064791809485486,17.11,53.14,1968.0,174.33
51,Maruti Swift LDI,Delhi,2014,52000.0,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,4.25,10,Maruti,SwiftLDI,10.858998997563564,1.4469189829363254,22.9,7.87,1248.0,74.0
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000.0,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5.0,,3.3,10,Maruti,SwiftLdi,10.87804719253426,1.1939224684724346,17.8,7.87,1248.0,75.0
53,Maruti Swift VDI,Delhi,2013,65650.0,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,,3.85,11,Maruti,SwiftVDI,11.092092879730941,1.3480731482996928,28.4,7.87,1248.0,74.0
54,Hyundai Grand i10 Sportz,Chennai,2015,54000.0,Petrol,Manual,Third,18.9 kmpl,1197 CC,82 bhp,5.0,,3.6,9,Hyundai,Grandi10,10.896739325546411,1.2809338454620642,18.9,9.74,1197.0,82.0
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000.0,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5.0,,3.99,9,Volkswagen,Vento2013-2015,10.571316925111784,1.3837912309017721,15.04,11.105,1598.0,103.2
56,Renault KWID RXT,Kochi,2017,16542.0,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,,3.3,7,Renault,KWIDRXT,9.713657880251851,1.1939224684724346,25.17,4.93,799.0,53.3
57,Hyundai i10 Asta,Kolkata,2010,32000.0,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.07,14,Hyundai,i10Asta,10.373491181781864,0.7275486072772777,20.36,9.74,1197.0,78.9
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812.0,Diesel,Automatic,First,13.29 kmpl,1995 CC,147.6 bhp,5.0,,7.75,14,Nissan,X-TrailSLX,11.71023415157243,2.0476928433652555,13.29,9.51,1995.0,147.6
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300.0,Petrol,Manual,First,18.2 kmpl,998 CC,67.1 bhp,5.0,,2.25,14,Maruti,ZenEstilo,10.578979797857352,0.8109302162163288,18.2,7.87,998.0,67.1
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000.0,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,19.34 Lakh,16.5,7,Toyota,InnovaCrysta,9.998797732340453,2.803360380906535,13.68,19.34,2393.0,147.8
61,Ford Figo Diesel Titanium,Bangalore,2010,72000.0,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.75,14,Ford,FigoDiesel,11.184421397998193,1.0116009116784799,20.0,11.2,1399.0,68.0
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000.0,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5.0,,26.7,9,Mercedes-Benz,NewC-Class,10.968198289528557,3.2846635654062037,11.74,70.85,1796.0,186.0
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000.0,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5.0,,10.0,13,Mercedes-Benz,NewC-Class,11.082142548877775,2.302585092994046,15.8,70.85,2148.0,170.0
64,Tata Indica V2 eLS,Chennai,2016,178000.0,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5.0,,2.5,8,Tata,IndicaV2,12.089538829274222,0.9162907318741551,25.0,7.63,1396.0,69.0
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664.0,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5.0,,13.5,12,Audi,A42.0,11.092306109090387,2.6026896854443837,16.55,53.14,1968.0,140.0
66,Honda City ZX CVT,Mumbai,2007,63000.0,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5.0,,1.85,17,Honda,CityZX,11.05089000537367,0.6151856390902335,16.4,11.15,1497.0,78.0
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369.0,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5.0,49.14 Lakh,35.67,5,Mercedes-Benz,C-ClassProgressive,9.640107772607312,3.5743099993708003,0.0,49.14,1950.0,194.0
68,Maruti Ertiga SHVS VDI,Pune,2016,63000.0,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7.0,,8.15,8,Maruti,ErtigaSHVS,11.05089000537367,2.0980179272527715,24.52,7.87,1248.0,88.5
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000.0,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5.0,11.81 Lakh,10.5,6,Hyundai,Creta1.4,9.472704636443673,2.3513752571634776,22.1,11.81,1396.0,88.7
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000.0,Petrol,Automatic,First,8.5 kmpl,4806 CC,500 bhp,5.0,,14.5,16,Porsche,Cayenne2009-2014,11.198214720130528,2.6741486494265287,8.5,9.74,4806.0,500.0
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729.0,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,9.65,9,Mahindra,XUV500W8,10.928255936745675,2.2669579153508947,15.1,11.145,2179.0,140.0
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178.0,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5.0,,3.48,12,Hyundai,i10Sportz,10.71836552166722,1.247032293786383,16.95,9.74,1197.0,78.9
73,Nissan Terrano XV D Pre,Kochi,2015,56066.0,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5.0,16.65 Lakh,6.92,9,Nissan,TerranoXV,10.93428484717576,1.9344157696295783,19.64,16.65,1461.0,108.5
74,Honda Brio VX AT,Coimbatore,2016,37300.0,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5.0,,6.46,8,Honda,BrioVX,10.526748605631907,1.8656293177945105,16.5,11.15,1198.0,86.8
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000.0,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5.0,,29.5,10,Audi,A62.0,10.933106969717286,3.3843902633457743,18.53,53.14,1968.0,187.74
76,Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111.0,Diesel,Manual,First,17.8 kmpl,1399 CC,null bhp,5.0,,2.0,16,Ford,Fiesta1.4,11.618284980627555,0.6931471805599453,17.8,11.2,1399.0,89.84
77,Toyota Innova 2.0 G1,Chennai,2006,230000.0,Petrol,Manual,Third,12.4 kmpl,1998 CC,132 bhp,8.0,,4.5,18,Toyota,Innova2.0,12.345834587905333,1.5040773967762742,12.4,23.25,1998.0,132.0
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000.0,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,,11.75,12,Toyota,Innova2.5,11.55214617812351,2.463853240590168,12.8,23.25,2494.0,102.0
79,Hyundai Santro Xing XL,Hyderabad,2005,87591.0,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5.0,,1.3,19,Hyundai,SantroXing,11.380433531920369,0.26236426446749106,0.0,9.74,1086.0,82.0
80,Maruti Swift VDI,Jaipur,2012,95100.0,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,3.75,12,Maruti,SwiftVDI,11.462684248533481,1.3217558399823195,22.9,7.87,1248.0,74.0
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000.0,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,6.67 Lakh,4.5,7,Tata,ZestRevotron,11.156250521031495,1.5040773967762742,17.57,6.67,1193.0,88.7
82,Honda Amaze SX i-VTEC,Kochi,2016,54944.0,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,,4.82,8,Honda,AmazeSX,10.914069763697203,1.572773928062509,18.0,11.15,1198.0,86.7
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337.0,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,2.8,12,Ford,FigoDiesel,11.161053255132654,1.0296194171811581,20.0,11.2,1399.0,68.0
84,Maruti Ritz VDi,Jaipur,2013,99638.0,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,3.11,11,Maruti,RitzVDi,11.50929889691453,1.1346227261911428,23.2,7.87,1248.0,73.94
85,Honda City i VTEC E,Delhi,2009,52000.0,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,,3.25,15,Honda,Cityi,10.858998997563564,1.1786549963416462,17.8,11.15,1497.0,117.3
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000.0,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,5.0,,13.9,13,BMW,5Series,11.225243392518447,2.631888840136646,16.73,57.985,1995.0,218.0
87,Hyundai i10 Sportz 1.2,Pune,2009,95980.0,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,2.25,15,Hyundai,i10Sportz,11.471895115412236,0.8109302162163288,20.36,9.74,1197.0,78.9
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000.0,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,5.75,8,Hyundai,Grandi10,9.680344001221918,1.749199854809259,18.9,9.74,1197.0,82.0
89,Hyundai Santro Xing XO,Hyderabad,2007,73745.0,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5.0,,2.1,17,Hyundai,SantroXing,11.208368475293602,0.7419373447293773,17.0,9.74,1086.0,82.0
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949.0,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5.0,,5.0,8,Honda,AmazeSX,9.849506438669614,1.6094379124341003,17.8,11.15,1198.0,86.7
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000.0,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,16.5,10,Toyota,Fortuner4x2,11.580584113444043,2.803360380906535,13.0,23.25,2982.0,168.5
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367.0,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,39.58,6,Audi,A62011-2015,10.78657304197918,3.6783239401744194,17.68,53.14,1968.0,174.33
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000.0,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,5.5,11,Ford,Ecosport1.5,10.950806546816688,1.7047480922384253,22.7,11.2,1498.0,89.84
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000.0,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,8.1,10,Mahindra,XUV500W8,10.968198289528557,2.0918640616783932,15.1,11.145,2179.0,140.0
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000.0,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,3.5,9,Honda,AmazeSX,10.308952660644293,1.252762968495368,25.8,11.15,1498.0,98.6
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212.0,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,2.79,11,Volkswagen,PoloDiesel,10.440331738700673,1.0260415958332743,22.07,11.105,1199.0,73.9
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002.0,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5.0,,3.45,14,Hyundai,VernaTransform,11.156279092051912,1.2383742310432684,16.2,9.74,1493.0,110.0
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000.0,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,4.45,8,Maruti,WagonR,11.03488966402723,1.4929040961781488,18.9,7.87,998.0,67.1
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001.0,Petrol,Manual,First,15.26 kmpl,1598 CC,103.5 bhp,5.0,,2.65,14,Volkswagen,PoloPetrol,11.034905792929415,0.9745596399981308,15.26,11.105,1598.0,103.5
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958.0,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,5.0,,3.8,13,Hyundai,i201.4,11.276671344505923,1.33500106673234,23.0,9.74,1396.0,90.0
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180.0,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,,4.65,10,Hyundai,i20Asta,10.31493473232184,1.536867219599265,18.5,9.74,1197.0,82.85
102,Datsun GO Plus T Petrol,Pune,2017,32851.0,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7.0,6.45 Lakh,3.95,7,Datsun,GOPlus,10.39973746484973,1.3737155789130306,19.83,6.45,1198.0,67.0
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000.0,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5.0,,9.8,14,Audi,A43.0,10.308952660644293,2.2823823856765264,14.94,53.14,2967.0,241.4
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000.0,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5.0,,2.7,15,Hyundai,i202015-2017,11.097410021008562,0.9932517730102834,17.0,9.74,1197.0,80.0
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850.0,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5.0,,2.41,14,Maruti,Omni5,11.449453042014655,0.8796267475025636,14.0,7.87,796.0,35.0
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000.0,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5.0,6.41 Lakh,3.9,10,Toyota,EtiosLiva,10.87804719253426,1.3609765531356006,17.71,6.41,1197.0,78.9
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000.0,Diesel,Automatic,Second,14.74 kmpl,2993 CC,270.9 bhp,5.0,,24.0,13,Jaguar,XF3.0,11.26446410567173,3.1780538303479458,14.74,53.72,2993.0,270.9
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000.0,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7.0,,5.75,12,Mahindra,XUV500W8,11.082142548877775,1.749199854809259,16.0,11.145,2179.0,140.0
